"ID_bet",          "first_id_gale", "color","source", "amount", "score_bet","amount_return","gale","status_bet","win","win_status","result_color","created_ajust"
save_list: {'id': 1678819445.061336, 'first_id_gale': 1678819445.061336, 'color': 2, 'source': 'channel_1', 'amount': 1.6, 'score_bet': 0, 'amount_return': 0, 'gale': 0, 'status_bet': None, 'win': -1.0, 'win_status': -1, 'result_color': 1, 'created_ajust': '2023-03-14T18:44:05'}
"1678818823.490045","1678818823.490045","2","channel_1","1.6","0","0","0","","-1.0","-1","1","2023-03-14T18:33:43"
"1678818823.490045","1678818823.490045","2","channel_1","3.2","0","0","1","","-2.0","-1","1","2023-03-14T18:33:43"
"1678819319.502384","1678819319.502384","2","channel_1","1.6","0","0","0","","-1.0","-1","1","2023-03-14T18:41:59"
"1678819356.086099","1678819356.086099","2","channel_1","1.6","0","0","0","","-1.0","-1","1","2023-03-14T18:42:36"
"1678819445.061336","1678819445.061336","2","channel_1","1.6","0","0","0","","-1.0","-1","1","2023-03-14T18:44:05"
"A","A","1678834739.610811","1","channel_1","10.0","0","0","0","","-1.0","-1","2"
"B","A","1678834739.610811","1","channel_1","20.0","0","0","1","","-2.0","-1","2"
"C","A","1678834739.610811","1","channel_1","40.0","0","80.0","2","","4.0","1","1"
"A","A","1678836418.63458","1","channel_1","10.0","0","0","0","","-1.0","-1","2"
"B","A","1678836418.63458","1","channel_1","20.0","0","0","1","","-2.0","-1","2"
"C","A","1678836418.63458","1","channel_1","40.0","0","80.0","2","","4.0","1","1"
"A","A","1678842732.95457","1","channel_1","10.0","0","0","0","","-1.0","-1","2"
"B","A","1678842732.95457","1","channel_1","20.0","0","0","1","","-2.0","-1","2"
"C","A","1678842732.95457","1","channel_1","40.0","0","80.0","2","","4.0","1","1"
